ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
Cabina_45,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_46,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_47,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_48,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_49,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_50,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_51,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_52,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_53,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_54,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_55,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_56,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_57,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_58,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_59,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_60,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_61,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_62,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_63,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_64,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
