ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC9287,5 DE MAYO,MIGUEL HIDALGO,19.449,-99.2005,1,Mi_Barrio
MC9795,5 DE MAYO,MIGUEL HIDALGO,19.4475,-99.199,1,Mi_Barrio
MC9289,AGRICULTURA,MIGUEL HIDALGO,19.4511,-99.1662,1,Mi_Barrio
MC5195,UN HOGAR PARA NOSOTROS,MIGUEL HIDALGO,19.445,-99.1672,1,Mi_Barrio
MC9297,16 DE SEPTIEMBRE,MIGUEL HIDALGO,19.403,-99.2051,1,Mi_Barrio
MC9295,DANIEL GARZA 2158,MIGUEL HIDALGO,19.406,-99.2007,1,Mi_Barrio
MC9302,DANIEL GARZA 2159,MIGUEL HIDALGO,19.4091,-99.1946,1,Mi_Barrio
MC9301,DANIEL GARZA 2159,MIGUEL HIDALGO,19.4106,-99.1914,1,Mi_Barrio
MC9768,ANAHUAC,MIGUEL HIDALGO,19.4419,-99.1706,1,Mi_Barrio
MC9333,ANAHUAC,MIGUEL HIDALGO,19.448,-99.1768,1,Mi_Barrio
MC9331,ANAHUAC,MIGUEL HIDALGO,19.4432,-99.1709,1,Mi_Barrio
MC9334,GRANADA 2210,MIGUEL HIDALGO,19.4382,-99.1836,1,Mi_Barrio
MC9351,ANZURES,MIGUEL HIDALGO,19.4279,-99.1761,1,Mi_Barrio
MC9369,BOSQUE DE CHAPULTEPEC I,MIGUEL HIDALGO,19.4227,-99.1775,1,Mi_Barrio
MC9363,ANZURES,MIGUEL HIDALGO,19.4339,-99.1756,1,Mi_Barrio
MC9354,ANZURES,MIGUEL HIDALGO,19.4259,-99.177,1,Mi_Barrio
MC9370,ANZURES,MIGUEL HIDALGO,19.427,-99.1767,1,Mi_Barrio
MC9348,ANZURES,MIGUEL HIDALGO,19.4285,-99.1773,1,Mi_Barrio
MC11963,ARGENTINA ANTIGUA,MIGUEL HIDALGO,19.4551,-99.2066,1,Mi_Barrio
MC9838,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,19.4059,-99.1869,1,Mi_Barrio
MC9512,IRRIGACION,MIGUEL HIDALGO,19.4446,-99.2061,1,Mi_Barrio
MC9510,IRRIGACION,MIGUEL HIDALGO,19.4436,-99.2109,1,Mi_Barrio
MC9446,CUAUHTEMOC PENSIL,MIGUEL HIDALGO,19.4443,-99.1951,1,Mi_Barrio
MC9452,DANIEL GARZA 2158,MIGUEL HIDALGO,19.4033,-99.1999,1,Mi_Barrio
MC9303,DANIEL GARZA 2159,MIGUEL HIDALGO,19.4081,-99.1946,1,Mi_Barrio
MC9305,DANIEL GARZA 2159,MIGUEL HIDALGO,19.4079,-99.1965,1,Mi_Barrio
MC9307,DANIEL GARZA 2159,MIGUEL HIDALGO,19.4091,-99.1913,1,Mi_Barrio
MC9692,ANAHUAC DOS LAGOS,MIGUEL HIDALGO,19.4426,-99.19,1,Mi_Barrio
MC9478,ESCANDON,MIGUEL HIDALGO,19.4041,-99.1776,1,Mi_Barrio
MC9466,ESCANDON,MIGUEL HIDALGO,19.4005,-99.1822,1,Mi_Barrio
MC9458,ESCANDON,MIGUEL HIDALGO,19.4034,-99.1831,1,Mi_Barrio
MC9470,ESCANDON,MIGUEL HIDALGO,19.404,-99.1746,1,Mi_Barrio
MC9471,NOCHEBUENA,BENITO JUÁREZ,19.3797,-99.1789,1,Mi_Barrio
MC2282,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3959,-99.1853,1,Mi_Barrio
MC9489,GRANADA 2210,MIGUEL HIDALGO,19.4417,-99.1841,1,Mi_Barrio
MC9492,GRANADA 2210,MIGUEL HIDALGO,19.4392,-99.1936,1,Mi_Barrio
MC9498,GRANADA 2210,MIGUEL HIDALGO,19.4408,-99.1989,1,Mi_Barrio
MC9482,GRANADA 2210,MIGUEL HIDALGO,19.4406,-99.191,1,Mi_Barrio
MC9483,GRANADA 2210,MIGUEL HIDALGO,19.4418,-99.1958,1,Mi_Barrio
MC9316,GRANADA 2211,MIGUEL HIDALGO,19.4431,-99.1961,1,Mi_Barrio
MC9488,GRANADA 2210,MIGUEL HIDALGO,19.442,-99.1936,1,Mi_Barrio
MC9493,GRANADA 2210,MIGUEL HIDALGO,19.4386,-99.1914,1,Mi_Barrio
MC9777,POLANCO IV SECCION,MIGUEL HIDALGO,19.4375,-99.1855,1,Mi_Barrio
MC9722,GRANADA 2211,MIGUEL HIDALGO,19.4419,-99.1974,1,Mi_Barrio
MC9762,POLANCO IV SECCION,MIGUEL HIDALGO,19.4358,-99.1914,1,Mi_Barrio
MC9314,GRANADA 2211,MIGUEL HIDALGO,19.4438,-99.1984,1,Mi_Barrio
MC9317,GRANADA 2211,MIGUEL HIDALGO,19.4416,-99.2,1,Mi_Barrio
MC9485,GRANADA 2210,MIGUEL HIDALGO,19.4409,-99.1869,1,Mi_Barrio
MC9315,GRANADA 2211,MIGUEL HIDALGO,19.443,-99.1967,1,Mi_Barrio
MC9756,POLANCO IV SECCION,MIGUEL HIDALGO,19.4379,-99.1946,1,Mi_Barrio
MC9453,ANAHUAC LAGO SUR,MIGUEL HIDALGO,19.4444,-99.1883,1,Mi_Barrio
MC9490,LEGARIA 2267,MIGUEL HIDALGO,19.4557,-99.1926,1,Mi_Barrio
MC9532,LOMAS ALTAS,MIGUEL HIDALGO,19.403,-99.2265,1,Mi_Barrio
MC9533,LOMAS ALTAS,MIGUEL HIDALGO,19.3947,-99.2339,1,Mi_Barrio
MC9535,LOMAS ALTAS,MIGUEL HIDALGO,19.404,-99.2294,1,Mi_Barrio
MC9534,LOMAS ALTAS,MIGUEL HIDALGO,19.3936,-99.2367,1,Mi_Barrio
MC9538,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3873,-99.2466,1,Mi_Barrio
MC9542,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3897,-99.2424,1,Mi_Barrio
MC9540,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3891,-99.2456,1,Mi_Barrio
MC9544,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4077,-99.2264,1,Mi_Barrio
MC9648,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4092,-99.2215,1,Mi_Barrio
MC9594,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4133,-99.2146,1,Mi_Barrio
MC9631,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4135,-99.2199,1,Mi_Barrio
MC9649,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4115,-99.2166,1,Mi_Barrio
MC9654,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4155,-99.2279,1,Mi_Barrio
