ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
Terminal 1,MEXICO,VENUSTIANO CARRANZA,19.43499046,-99.08102969,117,AICM_T1
Terminal 2,MEXICO,VENUSTIANO CARRANZA,19.42218381,-99.07819206,88,AICM_T2
